sa2_2016,ra_2016
109031184,Inner Regional Australia
109031185,Inner Regional Australia
109031185,Outer Regional Australia
110011186,Inner Regional Australia
110011186,Outer Regional Australia
110011187,Outer Regional Australia
110011188,Inner Regional Australia
110011188,Outer Regional Australia
110011189,Outer Regional Australia
110021190,Outer Regional Australia
110021191,Outer Regional Australia
110021192,Outer Regional Australia
110021193,Outer Regional Australia
110021194,Outer Regional Australia
110031195,Outer Regional Australia
110031196,Outer Regional Australia
110031196,Remote Australia
110031197,Outer Regional Australia
110031198,Outer Regional Australia
110031198,Remote Australia
110041199,Outer Regional Australia
110041200,Outer Regional Australia
110041201,Inner Regional Australia
110041201,Outer Regional Australia
110041202,Inner Regional Australia
110041203,Inner Regional Australia
110041204,Inner Regional Australia
110041205,Inner Regional Australia
110041205,Outer Regional Australia
111011206,Major Cities of Australia
111011207,Major Cities of Australia
111011208,Major Cities of Australia
111011209,Major Cities of Australia
111011210,Major Cities of Australia
111011211,Major Cities of Australia
111011212,Major Cities of Australia
111011212,Inner Regional Australia
111011213,Major Cities of Australia
111011214,Major Cities of Australia
111021215,Major Cities of Australia
111021216,Major Cities of Australia
111021217,Major Cities of Australia
111021218,Major Cities of Australia
111021218,Inner Regional Australia
111021219,Major Cities of Australia
111021220,Major Cities of Australia
111021221,Major Cities of Australia
111031222,Major Cities of Australia
111031223,Major Cities of Australia
111031224,Major Cities of Australia
111031225,Major Cities of Australia
111031226,Major Cities of Australia
111031227,Major Cities of Australia
111031228,Major Cities of Australia
111031229,Major Cities of Australia
111031230,Major Cities of Australia
111031231,Major Cities of Australia
111031232,Major Cities of Australia
111031233,Major Cities of Australia
111031234,Major Cities of Australia
111031235,Major Cities of Australia
112011236,Inner Regional Australia
112011237,Inner Regional Australia
112011238,Inner Regional Australia
112011239,Inner Regional Australia
112011240,Inner Regional Australia
112011241,Inner Regional Australia
112011242,Inner Regional Australia
112011243,Inner Regional Australia
112021244,Inner Regional Australia
112021245,Outer Regional Australia
112021245,Inner Regional Australia
112021246,Inner Regional Australia
112021247,Outer Regional Australia
112021247,Inner Regional Australia
112021248,Inner Regional Australia
112021249,Inner Regional Australia
112031250,Major Cities of Australia
112031251,Major Cities of Australia
112031251,Inner Regional Australia
112031252,Inner Regional Australia
112031252,Major Cities of Australia
112031253,Major Cities of Australia
112031253,Inner Regional Australia
112031254,Major Cities of Australia
112031254,Inner Regional Australia
113011256,Outer Regional Australia
113011257,Outer Regional Australia
113011257,Remote Australia
113011258,Outer Regional Australia
113011259,Outer Regional Australia
113021260,Outer Regional Australia
113021261,Inner Regional Australia
113021262,Outer Regional Australia
113021262,Inner Regional Australia
113031263,Inner Regional Australia
113031263,Outer Regional Australia
113031264,Inner Regional Australia
113031264,Outer Regional Australia
113031265,Inner Regional Australia
113031265,Outer Regional Australia
113031266,Outer Regional Australia
113031267,Inner Regional Australia
113031268,Inner Regional Australia
113031269,Inner Regional Australia
113031270,Inner Regional Australia
113031271,Inner Regional Australia
113031271,Outer Regional Australia
114011272,Inner Regional Australia
114011273,Inner Regional Australia
114011274,Inner Regional Australia
114011275,Inner Regional Australia
114011276,Inner Regional Australia
114011277,Inner Regional Australia
114011278,Inner Regional Australia
114011279,Inner Regional Australia
114011280,Inner Regional Australia
114011281,Inner Regional Australia
114011282,Inner Regional Australia
114011283,Inner Regional Australia
114011283,Outer Regional Australia
114021284,Inner Regional Australia
114021285,Inner Regional Australia
114021286,Inner Regional Australia
114021287,Inner Regional Australia
114021288,Inner Regional Australia
114021289,Inner Regional Australia
115011290,Major Cities of Australia
115011291,Major Cities of Australia
115011294,Major Cities of Australia
115011296,Major Cities of Australia
115021297,Inner Regional Australia
115021297,Major Cities of Australia
115021298,Major Cities of Australia
115021298,Inner Regional Australia
115031299,Inner Regional Australia
115031299,Outer Regional Australia
115031300,Inner Regional Australia
115031300,Major Cities of Australia
115041301,Major Cities of Australia
115041301,Inner Regional Australia
115041302,Major Cities of Australia
116011303,Major Cities of Australia
116011304,Major Cities of Australia
116011306,Major Cities of Australia
116011307,Major Cities of Australia
116011308,Major Cities of Australia
116021309,Major Cities of Australia
116021310,Major Cities of Australia
116021312,Major Cities of Australia
116031313,Major Cities of Australia
116031314,Major Cities of Australia
116031315,Major Cities of Australia
116031316,Major Cities of Australia
116031317,Major Cities of Australia
116031318,Major Cities of Australia
116031319,Major Cities of Australia
117011320,Major Cities of Australia
117011321,Major Cities of Australia
117011322,Major Cities of Australia
117011323,Major Cities of Australia
117011324,Major Cities of Australia
117011325,Major Cities of Australia
117021326,Major Cities of Australia
117021327,Major Cities of Australia
117021328,Major Cities of Australia
117031329,Major Cities of Australia
117031330,Major Cities of Australia
117031331,Major Cities of Australia
117031332,Major Cities of Australia
117031333,Major Cities of Australia
117031334,Major Cities of Australia
117031335,Major Cities of Australia
117031336,Major Cities of Australia
117031337,Major Cities of Australia
117031338,Major Cities of Australia
118011339,Major Cities of Australia
118011340,Major Cities of Australia
118011341,Major Cities of Australia
118011342,Major Cities of Australia
118011343,Major Cities of Australia
118011344,Major Cities of Australia
118011345,Major Cities of Australia
118011346,Major Cities of Australia
118011347,Major Cities of Australia
118021348,Major Cities of Australia
118021350,Major Cities of Australia
119011354,Major Cities of Australia
119011355,Major Cities of Australia
119011356,Major Cities of Australia
119011357,Major Cities of Australia
119011358,Major Cities of Australia
119011359,Major Cities of Australia
119011360,Major Cities of Australia
119011361,Major Cities of Australia
119021362,Major Cities of Australia
119021363,Major Cities of Australia
119021364,Major Cities of Australia
119021366,Major Cities of Australia
119021367,Major Cities of Australia
119031368,Major Cities of Australia
119031369,Major Cities of Australia
119031370,Major Cities of Australia
119031371,Major Cities of Australia
119031372,Major Cities of Australia
119031373,Major Cities of Australia
119031374,Major Cities of Australia
119041375,Major Cities of Australia
119041376,Major Cities of Australia
119041377,Major Cities of Australia
119041378,Major Cities of Australia
119041379,Major Cities of Australia
119041380,Major Cities of Australia
119041381,Major Cities of Australia
119041382,Major Cities of Australia
120011383,Major Cities of Australia
120011384,Major Cities of Australia
120011385,Major Cities of Australia
120011386,Major Cities of Australia
120021387,Major Cities of Australia
120021388,Major Cities of Australia
120021389,Major Cities of Australia
120031390,Major Cities of Australia
120031391,Major Cities of Australia
120031392,Major Cities of Australia
120031393,Major Cities of Australia
120031394,Major Cities of Australia
120031395,Major Cities of Australia
120031396,Major Cities of Australia
121011398,Major Cities of Australia
121011399,Major Cities of Australia
121011400,Major Cities of Australia
121011401,Major Cities of Australia
121011402,Major Cities of Australia
121021403,Major Cities of Australia
121021404,Inner Regional Australia
121021404,Major Cities of Australia
121021406,Major Cities of Australia
121031407,Major Cities of Australia
121031408,Major Cities of Australia
121031409,Major Cities of Australia
121031410,Major Cities of Australia
121031411,Major Cities of Australia
121031412,Major Cities of Australia
121041413,Major Cities of Australia
121041414,Major Cities of Australia
121041415,Major Cities of Australia
121041416,Major Cities of Australia
121041417,Major Cities of Australia
122011418,Major Cities of Australia
122011419,Major Cities of Australia
122021420,Major Cities of Australia
122021421,Major Cities of Australia
122021421,Inner Regional Australia
122021422,Major Cities of Australia
122021423,Major Cities of Australia
122031424,Major Cities of Australia
122031425,Major Cities of Australia
122031426,Major Cities of Australia
122031427,Major Cities of Australia
122031428,Major Cities of Australia
122031429,Major Cities of Australia
122031430,Major Cities of Australia
122031431,Major Cities of Australia
122031432,Major Cities of Australia
123011433,Major Cities of Australia
123011434,Major Cities of Australia
123011435,Major Cities of Australia
123021436,Major Cities of Australia
123021437,Major Cities of Australia
123021438,Major Cities of Australia
123021439,Major Cities of Australia
123021440,Major Cities of Australia
123021441,Major Cities of Australia
123021442,Major Cities of Australia
123021443,Major Cities of Australia
123021444,Major Cities of Australia
123031445,Inner Regional Australia
123031446,Inner Regional Australia
123031446,Major Cities of Australia
123031447,Inner Regional Australia
123031448,Inner Regional Australia
123031448,Major Cities of Australia
124011449,Inner Regional Australia
124011450,Major Cities of Australia
124011451,Inner Regional Australia
124011452,Major Cities of Australia
124011452,Inner Regional Australia
124011453,Major Cities of Australia
124011454,Major Cities of Australia
124011455,Major Cities of Australia
124021456,Inner Regional Australia
124031457,Major Cities of Australia
124031458,Major Cities of Australia
124031459,Major Cities of Australia
124031460,Major Cities of Australia
124031461,Major Cities of Australia
124031462,Major Cities of Australia
124031463,Major Cities of Australia
124031463,Inner Regional Australia
124031464,Major Cities of Australia
124031465,Inner Regional Australia
124041466,Major Cities of Australia
124041467,Major Cities of Australia
124041468,Major Cities of Australia
124051469,Major Cities of Australia
124051470,Major Cities of Australia
125011473,Major Cities of Australia
125011475,Major Cities of Australia
125021476,Major Cities of Australia
125021477,Major Cities of Australia
125021478,Major Cities of Australia
125031479,Major Cities of Australia
125031480,Major Cities of Australia
125031481,Major Cities of Australia
125031482,Major Cities of Australia
125031483,Major Cities of Australia
125031484,Major Cities of Australia
125031485,Major Cities of Australia
125031486,Major Cities of Australia
125031487,Major Cities of Australia
125041489,Major Cities of Australia
125041490,Major Cities of Australia
125041491,Major Cities of Australia
125041492,Major Cities of Australia
